808	BLACK	2136
823	RED	839
839	BLACK	854
854	BLACK	885
869	BLACK	854
885	BLACK	991
885	BLACK	900
900	RED	885
900	BLACK	885
930	RED	961
961	BLACK	900
991	RED	961
991	RED	1113
1007	RED	1007
1007	BLACK	1022
1022	BLACK	1068
1037	RED	1037
1037	BLACK	1022
1068	RED	1037
1068	BLACK	991
1083	RED	1083
1083	BLACK	1083
1083	BLACK	1068
1098	BLACK	1083
1113	RED	1098
1113	RED	808
1129	BLACK	1129
1129	BLACK	1174
1144	BLACK	1129
1174	RED	1144
1174	BLACK	1266
1190	BLACK	1205
1205	RED	1190
1205	BLACK	1174
1220	RED	1220
1220	BLACK	1235
1235	RED	1205
1266	BLACK	1235
1266	RED	1541
1281	BLACK	1297
1297	RED	1281
1297	BLACK	1342
1327	BLACK	1297
1342	BLACK	1266
1358	BLACK	1373
1373	RED	1358
1373	RED	1373
1373	BLACK	1373
1373	BLACK	1373
1373	BLACK	1373
1373	BLACK	1342
1403	RED	1434
1434	BLACK	1464
1449	RED	1434
1464	RED	1464
1464	BLACK	1464
1464	RED	1510
1495	BLACK	1464
1510	BLACK	1373
1525	BLACK	1510
1541	RED	1525
1541	RED	1815
1556	BLACK	1556
1556	BLACK	1632
1586	RED	1617
1617	BLACK	1556
1632	RED	1617
1632	RED	1724
1647	RED	1663
1663	BLACK	1663
1663	RED	1678
1663	BLACK	1663
1678	RED	1663
1678	BLACK	1632
1693	BLACK	1678
1709	RED	1693
1724	BLACK	1541
1754	RED	1754
1754	BLACK	1754
1754	BLACK	1724
1785	BLACK	1800
1800	RED	1785
1800	RED	1754
1800	BLACK	1800
1815	RED	1800
1815	BLACK	1113
1846	RED	1846
1846	BLACK	1876
1861	RED	1846
1876	BLACK	1815
1907	RED	1922
1922	BLACK	1937
1937	RED	1922
1937	RED	1968
1953	BLACK	1937
1968	BLACK	2014
1983	BLACK	1968
1998	RED	1983
2014	RED	2105
2029	RED	2044
2044	BLACK	2044
2044	RED	2044
2044	RED	2090
2059	RED	2059
2059	BLACK	2075
2075	RED	2044
2090	BLACK	2075
2090	BLACK	2014
2105	RED	2105
2105	BLACK	2090
2105	RED	1876
2121	RED	2121
2121	BLACK	2121
2121	BLACK	2105
2121	BLACK	2121
2136	RED	2121
2136	BLACK	2334
2151	RED	2151
2151	BLACK	2151
2151	RED	2166
2166	BLACK	2151
2166	BLACK	2197
2166	BLACK	2166
2197	RED	2166
2197	BLACK	2136
2212	BLACK	2212
2212	RED	2227
2227	RED	2227
2227	BLACK	2212
2227	BLACK	2258
2243	RED	2258
2258	BLACK	2227
2258	RED	2258
2258	RED	2197
2273	RED	2273
2273	BLACK	2273
2273	BLACK	2258
2304	BLACK	2304
2304	RED	2334
2319	RED	2334
2334	BLACK	2304
2334	RED	2273
2334	BLACK	2334
2334	BLACK	7492
2349	RED	2349
2349	BLACK	2349
2349	BLACK	2426
2380	RED	2380
2380	BLACK	2395
2395	RED	2349
2410	BLACK	2395
2426	RED	2517
2441	BLACK	2471
2471	BLACK	2426
2471	RED	2487
2487	BLACK	2471
2502	RED	2487
2517	BLACK	2594
2548	BLACK	2563
2563	RED	2548
2563	BLACK	2517
2578	RED	2578
2578	BLACK	2594
2594	RED	2578
2594	RED	2563
2594	BLACK	2594
2594	RED	2945
2624	RED	2624
2624	BLACK	2655
2655	RED	2670
2670	RED	2670
2670	BLACK	2655
2670	BLACK	2700
2685	RED	2685
2685	BLACK	2670
2685	RED	2685
2700	BLACK	2883
2731	BLACK	2731
2731	BLACK	2700
2761	RED	2761
2761	BLACK	2777
2777	BLACK	2777
2777	BLACK	2777
2777	RED	2731
2777	BLACK	2807
2807	RED	2777
2807	BLACK	2777
2838	RED	2838
2838	BLACK	2807
2883	BLACK	2594
2883	BLACK	2899
2899	BLACK	2883
2914	RED	2929
2929	BLACK	2899
2945	RED	2929
2945	BLACK	3585
2960	RED	2960
2960	BLACK	2960
2960	BLACK	2960
2960	BLACK	2960
2960	RED	3036
2990	RED	3006
3006	BLACK	3006
3006	BLACK	2960
3006	BLACK	3006
3036	RED	3067
3051	BLACK	3036
3067	RED	3051
3067	BLACK	3128
3128	RED	3128
3128	BLACK	3067
3128	BLACK	3433
3143	RED	3158
3158	BLACK	3158
3158	RED	3234
3219	BLACK	3158
3234	RED	3250
3234	BLACK	3234
3250	BLACK	3295
3280	RED	3280
3280	BLACK	3250
3280	RED	3280
3295	RED	3128
3295	BLACK	3311
3311	RED	3295
3311	RED	3357
3326	RED	3341
3341	BLACK	3311
3341	RED	3341
3357	BLACK	3295
3387	RED	3387
3387	BLACK	3357
3433	BLACK	2945
3448	RED	3463
3463	BLACK	3463
3463	RED	3463
3463	RED	3479
3479	BLACK	3463
3479	BLACK	3494
3494	RED	3494
3494	BLACK	3479
3494	RED	3433
3494	RED	3509
3509	BLACK	3509
3509	RED	3509
3509	BLACK	3494
3524	BLACK	3555
3555	RED	3524
3555	RED	3585
3570	BLACK	3555
3585	RED	3509
3585	BLACK	3585
3585	BLACK	4455
3601	RED	3601
3601	BLACK	3601
3601	BLACK	3616
3616	RED	3616
3616	BLACK	3601
3616	RED	3677
3631	BLACK	3662
3662	RED	3677
3677	RED	3677
3677	BLACK	3662
3677	BLACK	3616
3677	BLACK	3677
3677	BLACK	3784
3723	RED	3723
3723	BLACK	3738
3723	RED	3723
3738	BLACK	3677
3753	BLACK	3738
3784	BLACK	3585
3814	RED	3814
3814	BLACK	3830
3830	BLACK	3860
3845	BLACK	3860
3860	RED	3845
3860	RED	3830
3860	BLACK	3860
3860	BLACK	3952
3906	RED	3906
3906	BLACK	3921
3921	RED	3906
3921	RED	3952
